eye_used,file,image,inst,nGap,nSacc,n_blink,outlier,response,rt,trialId
undefined,12.asc,P002.png,search,0,36,9,0,w,14801,0
undefined,12.asc,P001.png,search,0,37,6,0,timeout,15005,1
undefined,12.asc,F017.png,search,0,44,5,0,timeout,15004,2
undefined,12.asc,S012.png,search,0,49,3,0,timeout,15004,3
undefined,12.asc,F031.png,search,0,45,7,0,timeout,15004,4
undefined,12.asc,S028.png,search,0,46,5,0,timeout,15004,5
undefined,12.asc,F003.png,search,0,46,3,0,timeout,15004,6
undefined,12.asc,F008.png,search,0,41,4,0,timeout,15004,7
undefined,12.asc,S005.png,search,0,38,3,0,timeout,15003,8
undefined,12.asc,S006.png,search,0,40,3,0,timeout,15004,9
undefined,12.asc,F046.png,search,0,49,2,0,timeout,15004,10
undefined,12.asc,S018.png,search,0,42,5,0,timeout,15004,11
undefined,12.asc,F036.png,search,0,48,2,0,timeout,15004,12
undefined,12.asc,F032.png,search,0,44,5,0,timeout,15004,13
undefined,12.asc,F019.png,search,0,41,1,0,timeout,15004,14
undefined,12.asc,F000.png,search,0,44,3,0,timeout,15005,15
undefined,12.asc,F024.png,search,0,49,3,0,timeout,15004,16
undefined,12.asc,F048.png,search,0,49,1,0,timeout,15003,17
undefined,12.asc,S049.png,search,0,47,4,0,timeout,15004,18
undefined,12.asc,S039.png,search,0,30,2,0,w,10599,19
undefined,12.asc,S040.png,search,0,51,1,0,timeout,15004,20
undefined,12.asc,S020.png,search,0,50,0,0,timeout,15004,21
undefined,12.asc,S025.png,search,0,52,1,0,timeout,15004,22
undefined,12.asc,F027.png,search,0,48,2,0,timeout,15003,23
undefined,12.asc,S036.png,search,0,32,1,0,w,10548,24
undefined,12.asc,S046.png,search,0,46,2,0,timeout,15004,25
undefined,12.asc,S042.png,search,0,49,1,0,timeout,15005,26
undefined,12.asc,S031.png,search,0,48,1,0,timeout,15005,27
undefined,12.asc,S010.png,search,0,52,1,0,timeout,15003,28
undefined,12.asc,S021.png,search,0,49,1,0,timeout,15004,29
undefined,12.asc,S041.png,search,0,45,2,0,timeout,15005,30
undefined,12.asc,F044.png,search,0,44,1,0,timeout,15004,31
undefined,12.asc,S022.png,search,0,47,2,0,timeout,15005,32
undefined,12.asc,F006.png,search,0,43,1,0,timeout,15004,33
undefined,12.asc,S027.png,search,0,49,2,0,timeout,15004,34
undefined,12.asc,F011.png,search,0,45,1,0,timeout,15004,35
undefined,12.asc,F023.png,search,0,43,1,0,timeout,15003,36
undefined,12.asc,S047.png,search,0,47,3,0,timeout,15004,37
undefined,12.asc,S009.png,search,0,52,1,0,timeout,15004,38
undefined,12.asc,F040.png,search,0,50,3,0,timeout,15004,39
undefined,12.asc,S014.png,search,0,48,0,0,timeout,15004,40
undefined,12.asc,S013.png,search,0,46,2,0,timeout,15004,41
undefined,12.asc,F012.png,search,0,43,1,0,timeout,15005,42
undefined,12.asc,F026.png,search,0,40,1,0,w,13333,43
undefined,12.asc,F021.png,search,0,26,2,0,timeout,15004,44
undefined,12.asc,F009.png,search,0,48,4,0,timeout,15004,45
undefined,12.asc,S019.png,search,0,49,3,0,timeout,15004,46
undefined,12.asc,F010.png,search,0,47,1,0,timeout,15004,47
undefined,12.asc,S035.png,search,0,14,0,0,;,5666,48
undefined,12.asc,F042.png,search,0,53,0,0,timeout,15005,49
undefined,12.asc,F038.png,search,0,45,1,0,timeout,15004,50
undefined,12.asc,S024.png,search,0,47,0,0,timeout,15004,51
undefined,12.asc,S034.png,search,0,45,2,0,timeout,15005,52
undefined,12.asc,S033.png,search,0,46,0,0,timeout,15004,53
undefined,12.asc,F004.png,search,0,5,1,0,w,1646,54
undefined,12.asc,S003.png,search,0,40,0,0,timeout,15004,55
undefined,12.asc,F028.png,search,0,48,0,0,timeout,15004,56
undefined,12.asc,F035.png,search,0,52,3,0,timeout,15004,57
undefined,12.asc,S008.png,search,0,50,0,0,timeout,15004,58
undefined,12.asc,S000.png,search,0,42,1,0,w,12103,59
undefined,12.asc,F001.png,search,0,41,5,0,timeout,15004,60
undefined,12.asc,F045.png,search,0,49,3,0,timeout,15004,61
undefined,12.asc,F039.png,search,0,50,3,0,timeout,15004,62
undefined,12.asc,S015.png,search,0,50,4,0,timeout,15004,63
undefined,12.asc,F014.png,search,0,48,2,0,timeout,15004,64
undefined,12.asc,F043.png,search,0,53,3,0,timeout,15004,65
undefined,12.asc,S030.png,search,0,51,2,0,timeout,15003,66
undefined,12.asc,F022.png,search,0,47,5,0,timeout,15004,67
undefined,12.asc,S048.png,search,0,23,0,0,;,7823,68
undefined,12.asc,S007.png,search,0,46,1,0,timeout,15004,69
undefined,12.asc,S001.png,search,0,49,2,0,timeout,15004,70
undefined,12.asc,F002.png,search,0,9,0,0,;,3117,71
undefined,12.asc,S038.png,search,0,18,0,0,w,5886,72
undefined,12.asc,S045.png,search,0,50,1,0,timeout,15004,73
undefined,12.asc,S023.png,search,0,48,2,0,timeout,15004,74
undefined,12.asc,F015.png,search,0,45,2,0,timeout,15004,75
undefined,12.asc,S029.png,search,0,47,1,0,timeout,15004,76
undefined,12.asc,F025.png,search,0,4,0,0,w,1950,77
undefined,12.asc,F033.png,search,0,31,1,0,;,11061,78
undefined,12.asc,S002.png,search,0,48,0,0,timeout,15004,79
undefined,12.asc,F020.png,search,0,53,1,0,timeout,15004,80
undefined,12.asc,F018.png,search,0,46,6,0,timeout,15004,81
undefined,12.asc,F013.png,search,0,49,2,0,timeout,15004,82
undefined,12.asc,F029.png,search,0,48,1,0,timeout,15005,83
undefined,12.asc,S017.png,search,0,49,2,0,timeout,15004,84
undefined,12.asc,F037.png,search,0,34,0,0,w,11070,85
undefined,12.asc,F007.png,search,0,48,1,0,timeout,15005,86
undefined,12.asc,S037.png,search,0,16,0,0,w,5312,87
undefined,12.asc,F049.png,search,0,49,1,0,timeout,15005,88
undefined,12.asc,S004.png,search,0,38,4,0,timeout,15004,89
undefined,12.asc,F016.png,search,0,25,1,0,w,9414,90
undefined,12.asc,F030.png,search,0,7,0,0,;,3317,91
undefined,12.asc,S043.png,search,0,49,1,0,timeout,15004,92
undefined,12.asc,F047.png,search,0,34,1,0,;,10759,93
undefined,12.asc,F034.png,search,0,9,0,0,;,3542,94
undefined,12.asc,S032.png,search,0,52,1,0,timeout,15004,95
undefined,12.asc,F041.png,search,0,45,2,0,timeout,15004,96
undefined,12.asc,S016.png,search,0,37,3,0,timeout,15004,97
undefined,12.asc,S011.png,search,0,48,2,0,timeout,15004,98
undefined,12.asc,F005.png,search,0,48,0,0,timeout,15005,99
undefined,12.asc,S044.png,search,0,16,0,0,;,5021,100
undefined,12.asc,S026.png,search,0,51,1,0,timeout,15005,101
undefined,05.asc,P002.png,memory,0,44,11,0,timeout,15003,0
undefined,05.asc,P001.png,memory,0,43,3,0,timeout,15004,1
undefined,05.asc,S036.png,memory,0,41,5,0,timeout,15004,2
undefined,05.asc,S035.png,memory,0,39,4,0,timeout,15004,3
undefined,05.asc,S044.png,memory,0,38,3,0,timeout,15004,4
undefined,05.asc,F009.png,memory,0,38,1,0,timeout,15004,5
undefined,05.asc,S028.png,memory,0,39,2,0,timeout,15004,6
undefined,05.asc,F039.png,memory,0,37,1,0,timeout,15005,7
undefined,05.asc,S000.png,memory,0,32,1,0,timeout,15004,8
undefined,05.asc,F010.png,memory,0,40,1,0,timeout,15005,9
undefined,05.asc,F026.png,memory,0,43,2,0,timeout,15004,10
undefined,05.asc,F045.png,memory,0,42,3,0,timeout,15004,11
undefined,05.asc,S006.png,memory,0,41,3,0,timeout,15004,12
undefined,05.asc,F029.png,memory,0,39,3,0,timeout,15004,13
undefined,05.asc,S049.png,memory,0,38,4,0,timeout,15006,14
undefined,05.asc,S003.png,memory,0,40,2,0,timeout,15004,15
undefined,05.asc,F014.png,memory,0,40,2,0,timeout,15004,16
undefined,05.asc,F018.png,memory,0,42,3,0,timeout,15004,17
undefined,05.asc,F034.png,memory,0,38,2,0,timeout,15004,18
undefined,05.asc,S020.png,memory,0,38,5,0,timeout,15004,19
undefined,05.asc,S032.png,memory,0,46,5,0,timeout,15004,20
undefined,05.asc,F021.png,memory,0,36,3,0,timeout,15004,21
undefined,05.asc,F048.png,memory,0,35,2,0,timeout,15005,22
undefined,05.asc,F044.png,memory,0,41,0,0,timeout,15004,23
undefined,05.asc,S045.png,memory,0,32,2,0,timeout,15004,24
undefined,05.asc,S005.png,memory,0,46,2,0,timeout,15004,25
undefined,05.asc,F016.png,memory,0,40,2,0,timeout,15004,26
undefined,05.asc,F041.png,memory,0,43,1,0,timeout,15004,27
undefined,05.asc,S034.png,memory,0,38,2,0,timeout,15005,28
undefined,05.asc,F008.png,memory,0,43,0,0,timeout,15004,29
undefined,05.asc,S014.png,memory,0,40,3,0,timeout,15004,30
undefined,05.asc,S001.png,memory,0,34,4,0,timeout,15004,31
undefined,05.asc,F005.png,memory,0,35,2,0,timeout,15005,32
undefined,05.asc,S007.png,memory,0,39,7,0,timeout,15004,33
undefined,05.asc,F030.png,memory,0,39,4,0,timeout,15005,34
undefined,05.asc,S018.png,memory,0,42,3,0,timeout,15004,35
undefined,05.asc,S026.png,memory,0,44,3,0,timeout,15004,36
undefined,05.asc,S030.png,memory,0,42,3,0,timeout,15005,37
undefined,05.asc,F043.png,memory,0,38,3,0,timeout,15004,38
undefined,05.asc,S002.png,memory,0,41,7,0,timeout,15004,39
undefined,05.asc,F035.png,memory,0,43,2,0,timeout,15004,40
undefined,05.asc,S019.png,memory,0,38,1,0,timeout,15004,41
undefined,05.asc,F000.png,memory,0,43,3,0,timeout,15004,42
undefined,05.asc,S021.png,memory,0,39,2,0,timeout,15004,43
undefined,05.asc,S041.png,memory,0,40,3,0,timeout,15004,44
undefined,05.asc,F007.png,memory,0,45,0,0,timeout,15004,45
undefined,05.asc,S025.png,memory,0,41,8,0,timeout,15005,46
undefined,05.asc,F015.png,memory,0,42,6,0,timeout,15004,47
undefined,05.asc,F049.png,memory,0,44,3,0,timeout,15004,48
undefined,05.asc,F031.png,memory,0,42,1,0,timeout,15004,49
undefined,05.asc,F006.png,memory,0,38,7,0,timeout,15004,50
undefined,05.asc,F038.png,memory,0,39,10,0,timeout,15005,51
undefined,05.asc,F047.png,memory,0,43,6,0,timeout,15005,52
undefined,05.asc,F025.png,memory,0,43,10,0,timeout,15003,53
undefined,05.asc,F011.png,memory,0,43,9,0,timeout,15005,54
undefined,05.asc,S047.png,memory,0,40,14,0,timeout,15005,55
undefined,05.asc,S038.png,memory,0,41,11,0,timeout,15004,56
undefined,05.asc,F003.png,memory,0,43,11,0,timeout,15005,57
undefined,05.asc,F042.png,memory,0,39,10,0,timeout,15004,58
undefined,05.asc,F019.png,memory,0,46,6,0,timeout,15004,59
undefined,05.asc,S011.png,memory,0,38,7,0,timeout,15005,60
undefined,05.asc,F023.png,memory,0,39,10,0,timeout,15004,61
undefined,05.asc,S009.png,memory,0,37,10,0,timeout,15005,62
undefined,05.asc,F017.png,memory,0,34,11,0,timeout,15004,63
undefined,05.asc,F024.png,memory,0,43,8,0,timeout,15004,64
undefined,05.asc,F022.png,memory,0,42,9,0,timeout,15004,65
undefined,05.asc,S012.png,memory,0,44,6,0,timeout,15004,66
undefined,05.asc,S004.png,memory,0,42,3,0,timeout,15005,67
undefined,05.asc,S016.png,memory,0,41,7,0,timeout,15004,68
undefined,05.asc,S040.png,memory,0,38,12,0,timeout,15005,69
undefined,05.asc,S017.png,memory,0,39,15,0,timeout,15003,70
undefined,05.asc,F027.png,memory,0,36,8,0,timeout,15004,71
undefined,05.asc,S039.png,memory,0,36,12,0,timeout,15003,72
undefined,05.asc,S024.png,memory,0,33,8,0,timeout,15004,73
undefined,05.asc,S031.png,memory,0,31,10,0,timeout,15004,74
undefined,05.asc,S046.png,memory,0,39,10,0,timeout,15004,75
undefined,05.asc,S037.png,memory,0,41,10,0,timeout,15006,76
undefined,05.asc,S043.png,memory,0,42,6,0,timeout,15004,77
undefined,05.asc,S015.png,memory,0,39,9,0,timeout,15004,78
undefined,05.asc,S013.png,memory,0,47,4,0,timeout,15006,79
undefined,05.asc,F037.png,memory,0,42,2,0,timeout,15004,80
undefined,05.asc,F036.png,memory,0,48,6,0,timeout,15003,81
undefined,05.asc,F012.png,memory,0,43,4,0,timeout,15004,82
undefined,05.asc,S048.png,memory,0,35,8,0,timeout,15004,83
undefined,05.asc,F002.png,memory,0,45,5,0,timeout,15004,84
undefined,05.asc,S033.png,memory,0,40,7,0,timeout,15004,85
undefined,05.asc,S008.png,memory,0,43,11,0,timeout,15004,86
undefined,05.asc,S027.png,memory,0,44,7,0,timeout,15004,87
undefined,05.asc,S022.png,memory,0,41,8,0,timeout,15004,88
undefined,05.asc,S010.png,memory,0,43,5,0,timeout,15004,89
undefined,05.asc,F028.png,memory,0,41,6,0,timeout,15004,90
undefined,05.asc,F013.png,memory,0,40,6,0,timeout,15004,91
undefined,05.asc,F040.png,memory,0,38,5,0,timeout,15003,92
undefined,05.asc,F046.png,memory,0,40,8,0,timeout,15005,93
undefined,05.asc,S023.png,memory,0,32,11,0,timeout,15004,94
undefined,05.asc,F032.png,memory,0,42,5,0,timeout,15004,95
undefined,05.asc,F004.png,memory,0,41,6,0,timeout,15004,96
undefined,05.asc,F020.png,memory,0,46,2,0,timeout,15004,97
undefined,05.asc,F033.png,memory,0,36,9,0,timeout,15004,98
undefined,05.asc,S042.png,memory,0,45,6,0,timeout,15004,99
undefined,05.asc,S029.png,memory,0,37,8,0,timeout,15003,100
undefined,05.asc,F001.png,memory,0,41,8,0,timeout,15004,101
undefined,16.asc,P002.png,free,0,39,4,0,timeout,15004,0
undefined,16.asc,P001.png,free,0,41,3,0,timeout,15004,1
undefined,16.asc,S025.png,free,0,41,5,0,timeout,15004,2
undefined,16.asc,F048.png,free,0,32,5,0,timeout,15005,3
undefined,16.asc,S033.png,free,0,40,8,0,timeout,15004,4
undefined,16.asc,F013.png,free,0,39,2,0,timeout,15004,5
undefined,16.asc,S018.png,free,0,41,0,0,timeout,15004,6
undefined,16.asc,S047.png,free,0,34,1,0,timeout,15004,7
undefined,16.asc,S019.png,free,0,37,0,0,timeout,15004,8
undefined,16.asc,F045.png,free,0,35,0,0,timeout,15004,9
undefined,16.asc,F033.png,free,0,40,1,0,timeout,15004,10
undefined,16.asc,S035.png,free,0,34,0,0,timeout,15004,11
undefined,16.asc,S038.png,free,0,35,1,0,timeout,15005,12
undefined,16.asc,S001.png,free,0,33,1,0,timeout,15004,13
undefined,16.asc,S037.png,free,0,30,3,0,timeout,15005,14
undefined,16.asc,F040.png,free,0,32,1,0,timeout,15004,15
undefined,16.asc,S024.png,free,0,38,0,0,timeout,15004,16
undefined,16.asc,F015.png,free,0,28,2,0,timeout,15004,17
undefined,16.asc,F036.png,free,0,41,1,0,timeout,15004,18
undefined,16.asc,S015.png,free,0,35,1,0,timeout,15004,19
undefined,16.asc,S010.png,free,0,36,4,0,timeout,15004,20
undefined,16.asc,S009.png,free,0,39,0,0,timeout,15004,21
undefined,16.asc,F007.png,free,0,35,0,0,timeout,15004,22
undefined,16.asc,S036.png,free,0,37,1,0,timeout,15004,23
undefined,16.asc,S028.png,free,0,35,2,0,timeout,15005,24
undefined,16.asc,S026.png,free,0,31,4,0,timeout,15004,25
undefined,16.asc,F028.png,free,0,31,3,0,timeout,15004,26
undefined,16.asc,F026.png,free,0,36,1,0,timeout,15004,27
undefined,16.asc,F034.png,free,0,32,2,0,timeout,15004,28
undefined,16.asc,F019.png,free,0,34,4,0,timeout,15004,29
undefined,16.asc,S007.png,free,0,32,3,0,timeout,15004,30
undefined,16.asc,S012.png,free,0,36,0,0,timeout,15004,31
undefined,16.asc,S022.png,free,0,36,0,0,timeout,15004,32
undefined,16.asc,F014.png,free,0,34,0,0,timeout,15004,33
undefined,16.asc,S021.png,free,0,35,1,0,timeout,15005,34
undefined,16.asc,F037.png,free,0,33,1,0,timeout,15004,35
undefined,16.asc,F032.png,free,0,39,2,0,timeout,15004,36
undefined,16.asc,F000.png,free,0,34,1,0,timeout,15004,37
undefined,16.asc,F020.png,free,0,29,0,0,timeout,15004,38
undefined,16.asc,S027.png,free,0,33,0,0,timeout,15003,39
undefined,16.asc,F044.png,free,0,35,0,0,timeout,15004,40
undefined,16.asc,F018.png,free,0,40,3,0,timeout,15004,41
undefined,16.asc,S045.png,free,0,30,0,0,timeout,15004,42
undefined,16.asc,S029.png,free,0,34,3,0,timeout,15003,43
undefined,16.asc,F024.png,free,0,39,2,0,timeout,15005,44
undefined,16.asc,S043.png,free,0,27,1,0,timeout,15004,45
undefined,16.asc,F012.png,free,0,37,1,0,timeout,15004,46
undefined,16.asc,F010.png,free,0,34,2,0,timeout,15005,47
undefined,16.asc,F023.png,free,0,31,3,0,timeout,15004,48
undefined,16.asc,F030.png,free,0,27,3,0,timeout,15004,49
undefined,16.asc,S044.png,free,0,37,2,0,timeout,15004,50
undefined,16.asc,S049.png,free,0,35,3,0,timeout,15004,51
undefined,16.asc,F041.png,free,0,38,1,0,timeout,15004,52
undefined,16.asc,S003.png,free,0,30,4,0,timeout,15004,53
undefined,16.asc,S023.png,free,0,36,3,0,timeout,15004,54
undefined,16.asc,F004.png,free,0,34,3,0,timeout,15004,55
undefined,16.asc,F031.png,free,0,38,0,0,timeout,15004,56
undefined,16.asc,F042.png,free,0,33,7,0,timeout,15004,57
undefined,16.asc,S020.png,free,0,34,0,0,timeout,15004,58
undefined,16.asc,S040.png,free,0,35,1,0,timeout,15004,59
undefined,16.asc,F009.png,free,0,28,3,0,timeout,15004,60
undefined,16.asc,F021.png,free,0,31,4,0,timeout,15004,61
undefined,16.asc,S013.png,free,0,35,4,0,timeout,15004,62
undefined,16.asc,S014.png,free,0,38,1,0,timeout,15004,63
undefined,16.asc,S039.png,free,0,36,1,0,timeout,15005,64
undefined,16.asc,S041.png,free,0,37,0,0,timeout,15005,65
undefined,16.asc,F038.png,free,0,32,9,0,timeout,15004,66
undefined,16.asc,F035.png,free,0,33,4,0,timeout,15004,67
undefined,16.asc,S002.png,free,0,33,6,0,timeout,15004,68
undefined,16.asc,F005.png,free,0,34,9,0,timeout,15005,69
undefined,16.asc,F025.png,free,0,33,5,0,timeout,15004,70
undefined,16.asc,F016.png,free,0,30,4,0,timeout,15004,71
undefined,16.asc,F001.png,free,0,35,7,0,timeout,15004,72
undefined,16.asc,F047.png,free,0,31,4,0,timeout,15005,73
undefined,16.asc,S031.png,free,0,34,4,0,timeout,15004,74
undefined,16.asc,F003.png,free,0,36,6,0,timeout,15004,75
undefined,16.asc,F011.png,free,0,37,8,0,timeout,15005,76
undefined,16.asc,S008.png,free,0,35,7,0,timeout,15005,77
undefined,16.asc,F017.png,free,0,33,3,0,timeout,15005,78
undefined,16.asc,F002.png,free,0,40,3,0,timeout,15004,79
undefined,16.asc,S005.png,free,0,37,3,0,timeout,15005,80
undefined,16.asc,S046.png,free,0,35,4,0,timeout,15004,81
undefined,16.asc,S006.png,free,0,35,1,0,timeout,15004,82
undefined,16.asc,S034.png,free,0,26,3,0,timeout,15004,83
undefined,16.asc,S042.png,free,0,31,2,0,timeout,15004,84
undefined,16.asc,F049.png,free,0,36,5,0,timeout,15004,85
undefined,16.asc,S030.png,free,0,35,4,0,timeout,15004,86
undefined,16.asc,F027.png,free,0,36,3,0,timeout,15005,87
undefined,16.asc,F022.png,free,0,36,8,0,timeout,15004,88
undefined,16.asc,F039.png,free,0,35,6,0,timeout,15004,89
undefined,16.asc,S004.png,free,0,35,9,0,timeout,15004,90
undefined,16.asc,S048.png,free,0,42,2,0,timeout,15004,91
undefined,16.asc,F046.png,free,0,32,2,0,timeout,15004,92
undefined,16.asc,S000.png,free,0,33,6,0,timeout,15005,93
undefined,16.asc,S017.png,free,0,36,5,0,timeout,15004,94
undefined,16.asc,S032.png,free,0,40,2,0,timeout,15004,95
undefined,16.asc,S011.png,free,0,34,3,0,timeout,15004,96
undefined,16.asc,F043.png,free,0,37,6,0,timeout,15004,97
undefined,16.asc,F008.png,free,0,33,5,0,timeout,15004,98
undefined,16.asc,F029.png,free,0,35,5,0,timeout,15004,99
undefined,16.asc,S016.png,free,0,32,3,0,timeout,15003,100
undefined,16.asc,F006.png,free,0,33,3,0,timeout,15004,101
undefined,02.asc,P002.png,memory,0,41,4,0,timeout,15005,0
undefined,02.asc,P001.png,memory,0,43,3,0,timeout,15004,1
undefined,02.asc,S002.png,memory,0,42,6,0,timeout,15004,2
undefined,02.asc,S013.png,memory,0,33,1,0,timeout,15003,3
undefined,02.asc,S009.png,memory,0,42,3,0,timeout,15005,4
undefined,02.asc,F042.png,memory,0,31,4,0,timeout,15006,5
undefined,02.asc,F025.png,memory,0,47,1,0,timeout,15004,6
undefined,02.asc,F011.png,memory,0,34,4,0,timeout,15005,7
undefined,02.asc,F000.png,memory,0,45,5,0,timeout,15004,8
undefined,02.asc,F012.png,memory,0,40,5,0,timeout,15004,9
undefined,02.asc,F044.png,memory,0,42,7,0,timeout,15006,10
undefined,02.asc,S010.png,memory,0,53,1,0,timeout,15004,11
undefined,02.asc,F037.png,memory,0,39,8,0,timeout,15004,12
undefined,02.asc,S037.png,memory,0,26,7,0,timeout,15004,13
undefined,02.asc,S017.png,memory,0,46,4,0,timeout,15004,14
undefined,02.asc,F014.png,memory,0,42,3,0,timeout,15005,15
undefined,02.asc,F036.png,memory,0,41,7,0,timeout,15003,16
undefined,02.asc,F007.png,memory,0,37,2,0,timeout,15005,17
undefined,02.asc,F047.png,memory,0,20,4,0,timeout,15004,18
